ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT_2020-09-09-6001.226.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	notMP	Minister	ERC	Esquerra Republicana de Catalunya		Bargalló Valls, Josep	M	1977
ParlaMint-ES-CT_2020-09-09-6001.227.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	Cs	Ciudadanos		García González, Joan	M	1975
ParlaMint-ES-CT_2020-09-09-6001.228.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Sierra Infante, Sonia	F	1973
ParlaMint-ES-CT_2020-09-09-6001.229.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.230.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	notMP	Minister	ERC	Esquerra Republicana de Catalunya		Bargalló Valls, Josep	M	1977
ParlaMint-ES-CT_2020-09-09-6001.231.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.232.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-Cs	Grup Parlamentari de Ciutadans	Opposition	Sierra Infante, Sonia	F	1973
ParlaMint-ES-CT_2020-09-09-6001.233.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.234.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	notMP	Minister	ERC	Esquerra Republicana de Catalunya		Bargalló Valls, Josep	M	1977
ParlaMint-ES-CT_2020-09-09-6001.235.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.236.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	notMP	Minister	ERC	Esquerra Republicana de Catalunya		Bargalló Valls, Josep	M	1977
ParlaMint-ES-CT_2020-09-09-6001.237.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.238.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-CUP;GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent;Grup Parlamentari de la Candidatura d'Unitat Popular - Un Nou Cicle per Guanyar	Opposition	Riera Albert, Carles	M	1960
ParlaMint-ES-CT_2020-09-09-6001.239.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.240.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	notMP	Minister	ERC	Esquerra Republicana de Catalunya		Bargalló Valls, Josep	M	1977
ParlaMint-ES-CT_2020-09-09-6001.241.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.242.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-CUP;GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent;Grup Parlamentari de la Candidatura d'Unitat Popular - Un Nou Cicle per Guanyar	Opposition	Riera Albert, Carles	M	1960
ParlaMint-ES-CT_2020-09-09-6001.243.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
ParlaMint-ES-CT_2020-09-09-6001.244.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	notMP	Minister	ERC	Esquerra Republicana de Catalunya		Bargalló Valls, Josep	M	1977
ParlaMint-ES-CT_2020-09-09-6001.245.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Chairperson	MP	notMinister	JuntsPelSí	Junts pel Sí		Torrent Ramió, Roger	M	1979
