ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
u2018-11-29-35	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Nacsa, Lőrinc	M	1990
u2018-11-29-36	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-37	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	MSZP	Magyar Szocialista Párt	Opposition	Bangóné Borbély, Ildikó	F	1972
u2018-11-29-38	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-39	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	DK	Demokratikus Koalíció	Opposition	Varju, László	M	1961
u2018-11-29-40	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-41	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	MLP	Magyar Liberális Párt		Bősz, Anett	F	1986
u2018-11-29-42	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-43	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	DK	Demokratikus Koalíció	Opposition	Varju, László	M	1961
u2018-11-29-44	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-45	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Nacsa, Lőrinc	M	1990
u2018-11-29-46	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-47	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	MSZP	Magyar Szocialista Párt	Opposition	Korózs, Lajos	M	1958
